Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
92.0,210182176,26418,7956.0,10432.0,160,84096,5168.7,[CUDA memcpy Host-to-Device]
8.0,18194016,1920,9476.0,6752.0,1504,65952,7468.7,[CUDA memset]
