GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 4960MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.3314
planned_logical_refreshes=1212
node=10/7814 op=public seconds=1.42195 eta_seconds=1109.69 bootstraps=0
node=20/7814 op=repeat seconds=2.33932 eta_seconds=911.633 bootstraps=0
node=30/7814 op=gather seconds=3.38476 eta_seconds=878.234 bootstraps=0
node=40/7814 op=cheb seconds=4.31674 eta_seconds=838.958 bootstraps=0
node=50/7814 op=mul seconds=4.72035 eta_seconds=732.975 bootstraps=0
node=60/7814 op=repeat seconds=5.0719 eta_seconds=655.459 bootstraps=0
node=70/7814 op=add seconds=5.30727 eta_seconds=587.136 bootstraps=0
node=80/7814 op=mulp seconds=5.8203 eta_seconds=562.677 bootstraps=0
node=90/7814 op=mul seconds=6.11917 eta_seconds=525.161 bootstraps=0
node=100/7814 op=repeat seconds=6.85935 eta_seconds=529.13 bootstraps=0
node=110/7814 op=gather seconds=7.86932 eta_seconds=551.138 bootstraps=0
node=120/7814 op=repeat seconds=9.91379 eta_seconds=635.639 bootstraps=0
node=130/7814 op=cheb seconds=10.4198 eta_seconds=615.892 bootstraps=0
node=140/7814 op=mul seconds=10.7539 eta_seconds=589.466 bootstraps=0
node=150/7814 op=mulp seconds=11.0377 eta_seconds=563.952 bootstraps=0
node=160/7814 op=gather seconds=11.4468 eta_seconds=547.584 bootstraps=0
node=170/7814 op=scatter seconds=11.6881 eta_seconds=525.551 bootstraps=0
node=180/7814 op=add seconds=11.8781 eta_seconds=503.766 bootstraps=0
node=190/7814 op=repeat seconds=13.3502 eta_seconds=535.693 bootstraps=2
node=200/7814 op=mul seconds=13.611 eta_seconds=518.172 bootstraps=2
node=210/7814 op=mul seconds=13.831 eta_seconds=500.813 bootstraps=2
node=220/7814 op=mul seconds=15.3899 eta_seconds=531.23 bootstraps=4
node=230/7814 op=mulp seconds=16.2542 eta_seconds=535.964 bootstraps=4
node=240/7814 op=mul seconds=17.7955 eta_seconds=561.597 bootstraps=6
node=250/7814 op=linear_ref seconds=18.6871 eta_seconds=565.398 bootstraps=6
node=260/7814 op=mulp seconds=19.8051 eta_seconds=575.413 bootstraps=8
node=270/7814 op=mul seconds=20.2223 eta_seconds=565.025 bootstraps=8
node=280/7814 op=repeat seconds=20.5066 eta_seconds=551.775 bootstraps=8
node=290/7814 op=gather seconds=20.9214 eta_seconds=542.803 bootstraps=8
node=300/7814 op=addp seconds=20.968 eta_seconds=525.178 bootstraps=8
node=310/7814 op=cheb seconds=23.0623 eta_seconds=558.257 bootstraps=10
node=320/7814 op=repeat seconds=23.4964 eta_seconds=550.256 bootstraps=10
node=330/7814 op=mul seconds=23.726 eta_seconds=538.078 bootstraps=10
node=340/7814 op=add seconds=24.0822 eta_seconds=529.384 bootstraps=10
node=350/7814 op=mulp seconds=25.022 eta_seconds=533.613 bootstraps=10
node=360/7814 op=add seconds=26.8185 eta_seconds=555.292 bootstraps=12
node=370/7814 op=linear seconds=27.4476 eta_seconds=552.216 bootstraps=12
node=380/7814 op=cheb seconds=27.7208 eta_seconds=542.307 bootstraps=12
node=390/7814 op=mul seconds=28.2137 eta_seconds=537.074 bootstraps=12
node=400/7814 op=gather seconds=28.5217 eta_seconds=528.65 bootstraps=12
node=410/7814 op=scatter seconds=28.7698 eta_seconds=519.541 bootstraps=12
node=420/7814 op=gather seconds=29.0725 eta_seconds=511.814 bootstraps=12
node=430/7814 op=gather seconds=31.0486 eta_seconds=533.17 bootstraps=14
node=440/7814 op=add seconds=31.6464 eta_seconds=530.365 bootstraps=14
node=450/7814 op=mul seconds=31.9438 eta_seconds=522.742 bootstraps=14
node=460/7814 op=scatter seconds=32.4582 eta_seconds=518.908 bootstraps=14
