GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 4960MB
Rotation keys loaded: 85 ~ 15300MB
setup_seconds=26.751
planned_logical_refreshes=1212
node=10/7814 op=public seconds=1.41055 eta_seconds=1100.8 bootstraps=0
node=20/7814 op=repeat seconds=2.3236 eta_seconds=905.508 bootstraps=0
node=30/7814 op=gather seconds=3.36092 eta_seconds=872.046 bootstraps=0
node=40/7814 op=cheb seconds=4.28913 eta_seconds=833.592 bootstraps=0
node=50/7814 op=mul seconds=4.69159 eta_seconds=728.51 bootstraps=0
node=60/7814 op=repeat seconds=5.04134 eta_seconds=651.509 bootstraps=0
node=70/7814 op=add seconds=5.27721 eta_seconds=583.81 bootstraps=0
node=80/7814 op=mulp seconds=5.79322 eta_seconds=560.059 bootstraps=0
node=90/7814 op=mul seconds=6.09268 eta_seconds=522.887 bootstraps=0
node=100/7814 op=repeat seconds=6.82495 eta_seconds=526.477 bootstraps=0
node=110/7814 op=gather seconds=7.82878 eta_seconds=548.299 bootstraps=0
node=120/7814 op=repeat seconds=9.88177 eta_seconds=633.586 bootstraps=0
node=130/7814 op=cheb seconds=10.3931 eta_seconds=614.309 bootstraps=0
node=140/7814 op=mul seconds=10.7264 eta_seconds=587.958 bootstraps=0
node=150/7814 op=mulp seconds=11.0111 eta_seconds=562.595 bootstraps=0
node=160/7814 op=gather seconds=11.4214 eta_seconds=546.37 bootstraps=0
node=170/7814 op=scatter seconds=11.6629 eta_seconds=524.419 bootstraps=0
node=180/7814 op=add seconds=11.8531 eta_seconds=502.704 bootstraps=0
node=190/7814 op=repeat seconds=13.3395 eta_seconds=535.266 bootstraps=2
node=200/7814 op=mul seconds=13.5973 eta_seconds=517.648 bootstraps=2
node=210/7814 op=mul seconds=13.816 eta_seconds=500.27 bootstraps=2
node=220/7814 op=mul seconds=15.3749 eta_seconds=530.714 bootstraps=4
node=230/7814 op=mulp seconds=16.244 eta_seconds=535.628 bootstraps=4
node=240/7814 op=mul seconds=17.7788 eta_seconds=561.07 bootstraps=6
node=250/7814 op=linear_ref seconds=18.6722 eta_seconds=564.945 bootstraps=6
node=260/7814 op=mulp seconds=19.7841 eta_seconds=574.806 bootstraps=8
node=270/7814 op=mul seconds=20.2061 eta_seconds=564.574 bootstraps=8
node=280/7814 op=repeat seconds=20.4861 eta_seconds=551.223 bootstraps=8
node=290/7814 op=gather seconds=20.9033 eta_seconds=542.334 bootstraps=8
node=300/7814 op=addp seconds=20.9497 eta_seconds=524.721 bootstraps=8
node=310/7814 op=cheb seconds=23.0404 eta_seconds=557.726 bootstraps=10
node=320/7814 op=repeat seconds=23.474 eta_seconds=549.733 bootstraps=10
node=330/7814 op=mul seconds=23.7058 eta_seconds=537.619 bootstraps=10
node=340/7814 op=add seconds=24.0663 eta_seconds=529.035 bootstraps=10
node=350/7814 op=mulp seconds=25.0105 eta_seconds=533.366 bootstraps=10
node=360/7814 op=add seconds=26.8086 eta_seconds=555.087 bootstraps=12
node=370/7814 op=linear seconds=27.4436 eta_seconds=552.136 bootstraps=12
node=380/7814 op=cheb seconds=27.7188 eta_seconds=542.267 bootstraps=12
node=390/7814 op=mul seconds=28.2125 eta_seconds=537.05 bootstraps=12
node=400/7814 op=gather seconds=28.5233 eta_seconds=528.68 bootstraps=12
node=410/7814 op=scatter seconds=28.7726 eta_seconds=519.591 bootstraps=12
node=420/7814 op=gather seconds=29.0728 eta_seconds=511.82 bootstraps=12
node=430/7814 op=gather seconds=31.0505 eta_seconds=533.203 bootstraps=14
node=440/7814 op=add seconds=31.6475 eta_seconds=530.384 bootstraps=14
node=450/7814 op=mul seconds=31.9453 eta_seconds=522.768 bootstraps=14
node=460/7814 op=scatter seconds=32.4651 eta_seconds=519.019 bootstraps=14
node=470/7814 op=addp seconds=33.9538 eta_seconds=530.547 bootstraps=16
node=480/7814 op=cheb seconds=35.6466 eta_seconds=544.651 bootstraps=18
node=490/7814 op=gather seconds=36.2309 eta_seconds=541.542 bootstraps=18
node=500/7814 op=mulp seconds=36.3273 eta_seconds=531.396 bootstraps=18
node=510/7814 op=mulp seconds=36.9058 eta_seconds=528.548 bootstraps=18
node=520/7814 op=cheb seconds=38.8012 eta_seconds=544.262 bootstraps=20
node=530/7814 op=addp seconds=39.1424 eta_seconds=537.95 bootstraps=20
node=540/7814 op=mul seconds=39.3841 eta_seconds=530.518 bootstraps=20
node=550/7814 op=mul seconds=39.7499 eta_seconds=524.988 bootstraps=20
node=560/7814 op=mulp seconds=40.227 eta_seconds=521.084 bootstraps=20
node=570/7814 op=addp seconds=40.7835 eta_seconds=518.308 bootstraps=20
node=580/7814 op=mulp seconds=40.8695 eta_seconds=509.742 bootstraps=20
node=590/7814 op=add seconds=42.865 eta_seconds=524.842 bootstraps=22
node=600/7814 op=mul seconds=43.4342 eta_seconds=522.223 bootstraps=22
node=610/7814 op=repeat seconds=44.786 eta_seconds=528.916 bootstraps=22
node=620/7814 op=cheb seconds=45.1765 eta_seconds=524.194 bootstraps=22
node=630/7814 op=mul seconds=45.4682 eta_seconds=518.482 bootstraps=22
node=640/7814 op=gather seconds=45.837 eta_seconds=513.804 bootstraps=22
node=650/7814 op=mulp seconds=46.0055 eta_seconds=507.051 bootstraps=22
node=660/7814 op=gather seconds=48.0477 eta_seconds=520.808 bootstraps=24
node=670/7814 op=add seconds=48.6587 eta_seconds=518.832 bootstraps=24
node=680/7814 op=mul seconds=49.0207 eta_seconds=514.284 bootstraps=24
node=690/7814 op=add seconds=49.5446 eta_seconds=511.53 bootstraps=24
node=700/7814 op=sum seconds=50.9865 eta_seconds=518.169 bootstraps=26
node=710/7814 op=gather seconds=51.641 eta_seconds=516.701 bootstraps=26
node=720/7814 op=gather seconds=53.0837 eta_seconds=523.022 bootstraps=28
node=730/7814 op=sum seconds=53.144 eta_seconds=515.716 bootstraps=28
node=740/7814 op=sum seconds=53.6743 eta_seconds=513.097 bootstraps=28
node=750/7814 op=add seconds=55.4569 eta_seconds=522.33 bootstraps=30
node=760/7814 op=mulp seconds=55.8266 eta_seconds=518.159 bootstraps=30
node=770/7814 op=add seconds=56.0934 eta_seconds=513.146 bootstraps=30
node=780/7814 op=mulp seconds=56.4842 eta_seconds=509.372 bootstraps=30
node=790/7814 op=repeat seconds=56.9675 eta_seconds=506.506 bootstraps=30
node=800/7814 op=gather seconds=57.3911 eta_seconds=503.176 bootstraps=30
node=810/7814 op=addp seconds=57.4415 eta_seconds=496.691 bootstraps=30
node=820/7814 op=scatter seconds=59.459 eta_seconds=507.141 bootstraps=32
node=830/7814 op=cheb seconds=60.2895 eta_seconds=507.304 bootstraps=32
node=840/7814 op=cheb seconds=60.8107 eta_seconds=504.874 bootstraps=32
node=850/7814 op=repeat seconds=61.1394 eta_seconds=500.911 bootstraps=32
node=860/7814 op=mul seconds=61.3866 eta_seconds=496.375 bootstraps=32
node=870/7814 op=add seconds=61.7722 eta_seconds=493.041 bootstraps=32
node=880/7814 op=mul seconds=61.9593 eta_seconds=488.211 bootstraps=32
node=890/7814 op=addp seconds=63.5753 eta_seconds=494.602 bootstraps=34
node=900/7814 op=add seconds=64.1718 eta_seconds=492.982 bootstraps=34
node=910/7814 op=repeat seconds=64.5348 eta_seconds=489.614 bootstraps=34
node=920/7814 op=gather seconds=65.9342 eta_seconds=494.076 bootstraps=36
node=930/7814 op=linear seconds=67.8164 eta_seconds=501.987 bootstraps=38
node=940/7814 op=mulp seconds=68.0349 eta_seconds=497.523 bootstraps=38
node=950/7814 op=gather seconds=69.8501 eta_seconds=504.685 bootstraps=40
node=960/7814 op=addp seconds=69.9083 eta_seconds=499.116 bootstraps=40
node=970/7814 op=mul seconds=70.4216 eta_seconds=496.872 bootstraps=40
node=980/7814 op=mul seconds=72.3327 eta_seconds=504.41 bootstraps=42
node=990/7814 op=repeat seconds=72.798 eta_seconds=501.792 bootstraps=42
node=1000/7814 op=mul seconds=73.0537 eta_seconds=497.788 bootstraps=42
node=1010/7814 op=cheb seconds=73.6989 eta_seconds=496.482 bootstraps=42
node=1020/7814 op=gather seconds=74.2835 eta_seconds=494.786 bootstraps=42
node=1030/7814 op=sum seconds=74.346 eta_seconds=489.673 bootstraps=42
node=1040/7814 op=scatter seconds=75.8827 eta_seconds=494.259 bootstraps=44
node=1050/7814 op=scatter seconds=76.1693 eta_seconds=490.675 bootstraps=44
node=1060/7814 op=mul seconds=76.5163 eta_seconds=487.539 bootstraps=44
node=1070/7814 op=cheb seconds=79.0702 eta_seconds=498.364 bootstraps=46
node=1080/7814 op=cheb seconds=79.9685 eta_seconds=498.619 bootstraps=46
node=1090/7814 op=repeat seconds=80.5698 eta_seconds=497.02 bootstraps=46
node=1100/7814 op=addp seconds=80.7827 eta_seconds=493.068 bootstraps=46
node=1110/7814 op=mul seconds=81.3311 eta_seconds=491.21 bootstraps=46
node=1120/7814 op=cheb seconds=82.9284 eta_seconds=495.645 bootstraps=48
node=1130/7814 op=mulp seconds=83.3247 eta_seconds=492.87 bootstraps=48
node=1140/7814 op=mulp seconds=83.6611 eta_seconds=489.784 bootstraps=48
node=1150/7814 op=sum seconds=84.0676 eta_seconds=487.153 bootstraps=48
node=1160/7814 op=add seconds=84.448 eta_seconds=484.411 bootstraps=48
node=1170/7814 op=mulp seconds=85.8214 eta_seconds=487.348 bootstraps=50
node=1180/7814 op=cheb seconds=86.4032 eta_seconds=485.762 bootstraps=50
node=1190/7814 op=mulp seconds=86.4538 eta_seconds=481.235 bootstraps=50
node=1200/7814 op=cheb seconds=88.6934 eta_seconds=488.849 bootstraps=52
node=1210/7814 op=mul seconds=89.1539 eta_seconds=486.589 bootstraps=52
node=1220/7814 op=gather seconds=89.4719 eta_seconds=483.588 bootstraps=52
node=1230/7814 op=scatter seconds=89.74 eta_seconds=480.364 bootstraps=52
node=1240/7814 op=gather seconds=90.043 eta_seconds=477.373 bootstraps=52
node=1250/7814 op=sum seconds=90.8185 eta_seconds=476.906 bootstraps=52
node=1260/7814 op=add seconds=92.3748 eta_seconds=480.496 bootstraps=54
node=1270/7814 op=linear seconds=93.0088 eta_seconds=479.251 bootstraps=54
node=1280/7814 op=mulp seconds=93.222 eta_seconds=475.869 bootstraps=54
node=1290/7814 op=addp seconds=93.7755 eta_seconds=474.257 bootstraps=54
node=1300/7814 op=mulp seconds=93.8611 eta_seconds=470.316 bootstraps=54
node=1310/7814 op=cheb seconds=96.3293 eta_seconds=478.264 bootstraps=56
node=1320/7814 op=cheb seconds=97.008 eta_seconds=477.25 bootstraps=56
node=1330/7814 op=repeat seconds=97.244 eta_seconds=474.083 bootstraps=56
node=1340/7814 op=add seconds=97.4644 eta_seconds=470.884 bootstraps=56
node=1350/7814 op=mul seconds=97.8374 eta_seconds=468.46 bootstraps=56
node=1360/7814 op=add seconds=98.0161 eta_seconds=465.144 bootstraps=56
node=1370/7814 op=addp seconds=99.7545 eta_seconds=469.21 bootstraps=58
node=1380/7814 op=add seconds=100.353 eta_seconds=467.877 bootstraps=58
node=1390/7814 op=repeat seconds=100.905 eta_seconds=466.339 bootstraps=58
node=1400/7814 op=addp seconds=101.212 eta_seconds=463.695 bootstraps=58
node=1410/7814 op=gather seconds=102.81 eta_seconds=466.948 bootstraps=60
node=1420/7814 op=sum seconds=102.92 eta_seconds=463.431 bootstraps=60
node=1430/7814 op=gather seconds=103.605 eta_seconds=462.526 bootstraps=60
node=1440/7814 op=cheb seconds=105.686 eta_seconds=467.809 bootstraps=62
node=1450/7814 op=repeat seconds=105.879 eta_seconds=464.698 bootstraps=62
node=1460/7814 op=mul seconds=106.64 eta_seconds=464.102 bootstraps=62
node=1470/7814 op=addp seconds=107.351 eta_seconds=463.287 bootstraps=62
node=1480/7814 op=add seconds=108.646 eta_seconds=464.977 bootstraps=64
node=1490/7814 op=scatter seconds=108.848 eta_seconds=461.982 bootstraps=64
node=1500/7814 op=add seconds=109.223 eta_seconds=459.754 bootstraps=64
node=1510/7814 op=gather seconds=109.914 eta_seconds=458.874 bootstraps=64
node=1520/7814 op=addp seconds=110.028 eta_seconds=455.602 bootstraps=64
node=1530/7814 op=sum seconds=111.837 eta_seconds=459.336 bootstraps=66
node=1540/7814 op=cheb seconds=112.846 eta_seconds=459.737 bootstraps=66
node=1550/7814 op=cheb seconds=113.48 eta_seconds=458.604 bootstraps=66
node=1560/7814 op=repeat seconds=113.803 eta_seconds=456.232 bootstraps=66
node=1570/7814 op=gather seconds=114.51 eta_seconds=455.414 bootstraps=66
node=1580/7814 op=add seconds=116.455 eta_seconds=459.479 bootstraps=68
node=1590/7814 op=mul seconds=116.502 eta_seconds=456.044 bootstraps=68
node=1600/7814 op=mulp seconds=116.845 eta_seconds=453.798 bootstraps=68
node=1610/7814 op=mul seconds=117.115 eta_seconds=451.294 bootstraps=68
node=1620/7814 op=sum seconds=117.424 eta_seconds=448.965 bootstraps=68
node=1630/7814 op=linear seconds=119.005 eta_seconds=451.49 bootstraps=70
node=1640/7814 op=cheb seconds=119.173 eta_seconds=448.642 bootstraps=70
node=1650/7814 op=mulp seconds=119.312 eta_seconds=445.722 bootstraps=70
node=1660/7814 op=repeat seconds=120.019 eta_seconds=444.939 bootstraps=70
node=1670/7814 op=add seconds=121.781 eta_seconds=448.036 bootstraps=72
node=1680/7814 op=mulp seconds=122.156 eta_seconds=446.015 bootstraps=72
node=1690/7814 op=add seconds=122.368 eta_seconds=443.421 bootstraps=72
node=1700/7814 op=mulp seconds=122.672 eta_seconds=441.188 bootstraps=72
node=1710/7814 op=linear_ref seconds=123.362 eta_seconds=440.35 bootstraps=72
node=1720/7814 op=scatter seconds=124.739 eta_seconds=441.954 bootstraps=74
node=1730/7814 op=repeat seconds=125.293 eta_seconds=440.625 bootstraps=74
node=1740/7814 op=addp seconds=125.6 eta_seconds=438.446 bootstraps=74
node=1750/7814 op=gather seconds=126.278 eta_seconds=437.572 bootstraps=74
node=1760/7814 op=mulp seconds=126.531 eta_seconds=435.24 bootstraps=74
node=1770/7814 op=cheb seconds=128.02 eta_seconds=437.147 bootstraps=76
node=1780/7814 op=cheb seconds=129.718 eta_seconds=439.731 bootstraps=76
node=1790/7814 op=mulp seconds=129.968 eta_seconds=437.389 bootstraps=76
node=1800/7814 op=gather seconds=130.33 eta_seconds=435.449 bootstraps=76
node=1810/7814 op=gather seconds=130.553 eta_seconds=433.062 bootstraps=76
node=1820/7814 op=scatter seconds=130.771 eta_seconds=430.683 bootstraps=76
node=1830/7814 op=mulp seconds=132.403 eta_seconds=432.951 bootstraps=78
node=1840/7814 op=scatter seconds=133.037 eta_seconds=431.936 bootstraps=78
node=1850/7814 op=add seconds=133.344 eta_seconds=429.873 bootstraps=78
node=1860/7814 op=mul seconds=133.852 eta_seconds=428.469 bootstraps=78
node=1870/7814 op=gather seconds=135.42 eta_seconds=430.448 bootstraps=80
node=1880/7814 op=cheb seconds=135.666 eta_seconds=428.215 bootstraps=80
node=1890/7814 op=mulp seconds=135.738 eta_seconds=425.456 bootstraps=80
node=1900/7814 op=mulp seconds=137.68 eta_seconds=428.547 bootstraps=82
node=1910/7814 op=mul seconds=138.111 eta_seconds=426.913 bootstraps=82
node=1920/7814 op=mulp seconds=138.323 eta_seconds=424.623 bootstraps=82
node=1930/7814 op=mul seconds=138.627 eta_seconds=422.634 bootstraps=82
node=1940/7814 op=cheb seconds=139.167 eta_seconds=421.374 bootstraps=82
node=1950/7814 op=scatter seconds=140.756 eta_seconds=423.279 bootstraps=84
node=1960/7814 op=sum seconds=141.258 eta_seconds=421.901 bootstraps=84
node=1970/7814 op=sum seconds=141.701 eta_seconds=420.357 bootstraps=84
node=1980/7814 op=gather seconds=142.366 eta_seconds=419.478 bootstraps=84
node=1990/7814 op=repeat seconds=142.627 eta_seconds=417.417 bootstraps=84
node=2000/7814 op=addp seconds=142.688 eta_seconds=414.793 bootstraps=84
node=2010/7814 op=mul seconds=145.466 eta_seconds=420.043 bootstraps=86
node=2020/7814 op=mulp seconds=145.971 eta_seconds=418.69 bootstraps=86
node=2030/7814 op=gather seconds=146.287 eta_seconds=416.81 bootstraps=86
node=2040/7814 op=gather seconds=146.51 eta_seconds=414.682 bootstraps=86
node=2050/7814 op=scatter seconds=146.728 eta_seconds=412.555 bootstraps=86
node=2060/7814 op=sum seconds=148.561 eta_seconds=414.961 bootstraps=88
node=2070/7814 op=scatter seconds=149.173 eta_seconds=413.938 bootstraps=88
node=2080/7814 op=repeat seconds=149.541 eta_seconds=412.244 bootstraps=88
node=2090/7814 op=linear_ref seconds=150.049 eta_seconds=410.947 bootstraps=88
node=2100/7814 op=mulp seconds=151.158 eta_seconds=411.294 bootstraps=90
node=2110/7814 op=mul seconds=151.704 eta_seconds=410.104 bootstraps=90
node=2120/7814 op=repeat seconds=151.887 eta_seconds=407.945 bootstraps=90
node=2130/7814 op=repeat seconds=154.297 eta_seconds=411.75 bootstraps=92
node=2140/7814 op=cheb seconds=154.821 eta_seconds=410.492 bootstraps=92
node=2150/7814 op=gather seconds=155.177 eta_seconds=408.8 bootstraps=92
node=2160/7814 op=linear_ref seconds=156.28 eta_seconds=409.077 bootstraps=92
node=2170/7814 op=add seconds=157.401 eta_seconds=409.389 bootstraps=94
node=2180/7814 op=mul seconds=157.784 eta_seconds=407.778 bootstraps=94
node=2190/7814 op=add seconds=158.048 eta_seconds=405.874 bootstraps=94
node=2200/7814 op=mul seconds=158.611 eta_seconds=404.747 bootstraps=94
node=2210/7814 op=gather seconds=159.308 eta_seconds=403.966 bootstraps=94
node=2220/7814 op=sum seconds=159.396 eta_seconds=401.649 bootstraps=94
node=2230/7814 op=mul seconds=160.868 eta_seconds=402.818 bootstraps=96
node=2240/7814 op=repeat seconds=163.364 eta_seconds=406.513 bootstraps=96
node=2250/7814 op=mulp seconds=163.828 eta_seconds=405.128 bootstraps=96
node=2260/7814 op=gather seconds=164.294 eta_seconds=403.756 bootstraps=96
node=2270/7814 op=mul seconds=164.793 eta_seconds=402.473 bootstraps=96
node=2280/7814 op=addp seconds=166.799 eta_seconds=404.853 bootstraps=98
node=2290/7814 op=scatter seconds=167.141 eta_seconds=403.182 bootstraps=98
node=2300/7814 op=add seconds=167.252 eta_seconds=400.968 bootstraps=98
node=2310/7814 op=sum seconds=167.658 eta_seconds=399.476 bootstraps=98
node=2320/7814 op=add seconds=168.043 eta_seconds=397.943 bootstraps=98
node=2330/7814 op=mulp seconds=169.42 eta_seconds=398.755 bootstraps=100
node=2340/7814 op=cheb seconds=170 eta_seconds=397.684 bootstraps=100
node=2350/7814 op=mulp seconds=170.051 eta_seconds=395.387 bootstraps=100
node=2360/7814 op=cheb seconds=172.366 eta_seconds=398.342 bootstraps=102
node=2370/7814 op=mul seconds=172.822 eta_seconds=396.981 bootstraps=102
node=2380/7814 op=gather seconds=173.101 eta_seconds=395.224 bootstraps=102
node=2390/7814 op=cheb seconds=174.067 eta_seconds=395.038 bootstraps=102
node=2400/7814 op=mul seconds=175.495 eta_seconds=395.887 bootstraps=104
node=2410/7814 op=add seconds=175.834 eta_seconds=394.276 bootstraps=104
node=2420/7814 op=add seconds=176.041 eta_seconds=392.382 bootstraps=104
node=2430/7814 op=cheb seconds=176.454 eta_seconds=390.958 bootstraps=104
node=2440/7814 op=gather seconds=177.039 eta_seconds=389.92 bootstraps=104
node=2450/7814 op=sum seconds=177.149 eta_seconds=387.847 bootstraps=104
node=2460/7814 op=addp seconds=178.954 eta_seconds=389.479 bootstraps=106
node=2470/7814 op=cheb seconds=179.999 eta_seconds=389.439 bootstraps=106
node=2480/7814 op=cheb seconds=180.782 eta_seconds=388.826 bootstraps=106
node=2490/7814 op=repeat seconds=180.976 eta_seconds=386.955 bootstraps=106
